x,y,z
-23.719294,0.9533739,4.1722975
-23.754177,0.9397526,4.1384354
-23.86099,0.9831321,4.14245
-23.934853,1.0010312,4.1301775
-24.059448,1.0603011,4.146135
-24.14336,1.0876322,4.1413255
-24.225536,1.1141496,4.1364837
-24.309519,1.142761,4.1335855
-24.419853,1.1939833,4.146813
-24.473661,1.1986871,4.128441
-24.58928,1.256041,4.1471705
-24.648891,1.2666183,4.133741
-24.726255,1.2928386,4.131718
-24.834732,1.3467319,4.1498713
-24.881372,1.3474259,4.1305966
-24.95099,1.3686187,4.126332
-25.04318,1.4104872,4.1374593
-25.086102,1.4088333,4.117423
-25.166883,1.4417112,4.12291
-25.257797,1.4846065,4.136264
-25.299643,1.4829941,4.1171827
-25.354555,1.4936872,4.107469
-25.459827,1.5521696,4.133839
-25.489712,1.5401549,4.1077895
-25.58559,1.5913944,4.1297107
-25.658566,1.6215231,4.1361628
-25.712221,1.6334512,4.129125
-25.76071,1.6406324,4.118722
-25.809734,1.6486058,4.109171
-25.888317,1.6865847,4.1231194
-25.927113,1.6850164,4.106733
-26.001278,1.7197981,4.118944
-26.07981,1.759893,4.13575
-26.13256,1.7739518,4.132466
-26.172602,1.7749915,4.119137
-26.219145,1.7831008,4.1116114
-26.283201,1.8103416,4.119594
-26.347464,1.8384697,4.128634
-26.381832,1.8344531,4.112133
-26.42487,1.8400888,4.103575
-26.481499,1.8611889,4.107766
-26.55365,1.9004155,4.127018
-26.589941,1.8995457,4.1138754
-26.630138,1.9032856,4.10467
-26.696743,1.9380691,4.121214
-26.74372,1.9505304,4.119662
-26.77697,1.9469882,4.1050553
-26.833376,1.9714153,4.113863
-26.876648,1.9804674,4.110114
-26.925596,1.9968276,4.112687
-26.968554,2.00619,4.1096096
-27.010338,2.0143914,4.105748
-27.057652,2.0299382,4.108288
-27.111357,2.054185,4.118437
-27.148575,2.0575914,4.111103
-27.184244,2.0591388,4.102339
-27.220385,2.0614562,4.0943756
-27.264324,2.0744672,4.095748
-27.316793,2.0995574,4.107725
-27.358335,2.110238,4.107507
-27.396395,2.1164036,4.103558
-27.43436,2.1226902,4.099873
-27.47316,2.1304333,4.0976157
-27.512302,2.1389713,4.0962133
-27.559507,2.1596947,4.1056495
-27.59515,2.1638112,4.100723
-27.625385,2.1599708,4.088932
-27.669758,2.17776,4.0963345
-27.71212,2.193005,4.1016846
-27.755972,2.2110977,4.109743
-27.795723,2.2232518,4.1127205
-27.827734,2.2233377,4.1051154
-27.866375,2.2343764,4.107405
-27.903206,2.242822,4.107535
-27.952038,2.271812,4.126235
-27.996832,2.2948422,4.1398063
-28.02788,2.2948084,4.1328073
-28.051535,2.2818668,4.1142716
-28.081905,2.28062,4.106374
-28.123264,2.2993505,4.1166816
-28.172544,2.3333325,4.141012
-28.203642,2.3344774,4.1357026
-28.233992,2.3343332,4.1293297
-28.263983,2.3335834,4.1225095
-28.293629,2.3322256,4.115237
-28.3278,2.3399394,4.116378
-28.364582,2.3532958,4.1228256
-28.401827,2.3681555,4.130804
-28.43553,2.376194,4.132648
-28.462597,2.3704333,4.1218905
-28.491028,2.3675249,4.113851
-28.522018,2.3702636,4.1111326
-28.558529,2.3856442,4.120239
-28.599358,2.411615,4.139319
-28.628138,2.4104614,4.1333556
-28.654293,2.4030867,4.121695
-28.68056,2.3957763,4.1101723
-28.710888,2.3983471,4.1079545
-28.741724,2.402406,4.1072316
-28.77575,2.4149842,4.114591
-28.811169,2.431886,4.12613
-28.843199,2.4404502,4.129979
-28.87305,2.443469,4.128734
-28.89986,2.4381068,4.1197047
-28.929432,2.440578,4.1181355
-28.958485,2.4417167,4.11541
-28.987516,2.442933,4.1128535
-29.02107,2.458384,4.123843
-29.053047,2.469686,4.1310325
-29.08052,2.4669023,4.1249967
-29.106983,2.4606414,4.115752
-29.13518,2.4601269,4.112038
-29.166172,2.4696336,4.117933
-29.196625,2.477806,4.122666
-29.227509,2.4881997,4.1296163
-29.251654,2.4730477,4.1123486
-29.281874,2.4814615,4.117605
-29.306303,2.4664335,4.100605
-29.336271,2.4742875,4.105514
-29.36307,2.4686637,4.097648
-29.391962,2.47239,4.0988016
-29.42273,2.4854836,4.1090093
-29.453142,2.4979486,4.118721
-29.48033,2.494763,4.113545
-29.504795,2.476617,4.0941143
-29.53207,2.4728467,4.0885367
-29.56326,2.4920673,4.1051025
-29.59219,2.4991937,4.1101656
-29.617838,2.4856086,4.095428
-29.64784,2.500771,4.1083913
-29.676523,2.5081255,4.1139464
-29.703981,2.506944,4.111385
-29.73016,2.4950645,4.098614
-29.75685,2.4861217,4.088749
-29.784353,2.4837103,4.0852513
-29.812588,2.488554,4.088827
-29.840744,2.4934719,4.092565
-29.869284,2.504214,4.1020026
-29.896763,2.5028088,4.099822
-29.923704,2.492845,4.0894737
-29.950396,2.4757574,4.072338
-29.97862,2.484631,4.080322
-30.006527,2.489262,4.084303
-30.034147,2.4874902,4.082192
-30.062296,2.5059347,4.0996737
-30.089771,2.502147,4.09579
-30.1173,2.4977107,4.091366
-30.14489,2.4861486,4.0801487
-30.172619,2.4811344,4.0753374
-30.200502,2.471154,4.065819
-30.228102,2.4806733,4.075204
-30.255527,2.4909823,4.085435
-30.282845,2.4999218,4.094428
-30.310087,2.507492,4.1021843
-30.3376,2.5079389,4.1031528
-30.366232,2.490478,4.086939
-30.394278,2.4853168,4.082676
-30.42235,2.4809484,4.0792637
-30.450182,2.4802468,4.079474
-30.475586,2.5054846,4.1047573
-30.502722,2.5099483,4.110106
-30.53026,2.510172,4.1114573
