x,y,z
-26.560312,1.2902212,3.4576674
-26.606598,1.2968526,3.4512677
-26.654268,1.305614,3.446888
-26.719435,1.338342,3.463305
-26.773937,1.3574009,3.468265
-26.827198,1.375324,3.4724941
-27.035004,1.6102574,3.6649985
-27.173063,1.7522159,3.7779903
-27.282505,1.8567495,3.8591876
-27.354967,1.9102724,3.8964496
-27.424809,1.9614089,3.9320002
-27.476332,1.986654,3.945179
-27.540382,2.0315807,3.9759235
-27.598036,2.068006,3.9994903
-27.638176,2.0783472,4.0002666
-27.692345,2.1111128,4.021094
-27.449068,1.6710885,3.622005
-27.444525,1.6045465,3.5539188
-27.467932,1.5820231,3.5249968
-27.745146,1.9803855,3.872716
-27.764019,1.9551785,3.8423028
-27.563725,1.55491,3.4748688
-27.573198,1.506645,3.4230332
-27.601288,1.4898064,3.3995113
-27.629246,1.4723413,3.3754954
-27.65368,1.4480722,3.3453865
-27.676243,1.4197195,3.3116183
-27.69997,1.3927708,3.279161
-27.720478,1.3589666,3.240499
-27.736853,1.3162122,3.193686
-27.736977,1.2403007,3.11654
-27.708092,1.1041341,2.9840727
-27.804224,1.2170062,3.079885
-27.774914,1.0751364,2.941979
-27.799719,1.0420089,2.9039178
-27.828936,1.0172527,2.8736181
-27.890217,1.0614374,2.9070816
-27.915249,1.0271161,2.868164
-27.954725,1.0242121,2.8584046
-27.992418,1.0172234,2.844983
-28.024542,0.9970486,2.8194227
-28.061075,0.9867377,2.8031263
-28.103518,0.99052596,2.8000846
-28.148153,1.0000429,2.8025384
-28.156656,0.91843295,2.719963
-28.195454,0.91195583,2.7076511
-28.902105,2.4444551,4.1256766
-28.958447,2.5245903,4.197263
-28.987556,2.5279226,4.1966953
-29.01568,2.5285058,4.193631
-29.038794,2.5135925,4.176015
-29.06546,2.5093553,4.1685596
-29.097593,2.5229087,4.1780324
-29.126352,2.5259147,4.1776247
-29.156496,2.5339692,4.1821012
-29.18571,2.539267,4.184064
-29.20864,2.5218916,4.164572
-29.239178,2.5323148,4.1715884
-29.26626,2.530009,4.1665893
-29.29621,2.5391726,4.172604
-29.324812,2.5434299,4.174042
-29.352182,2.5427701,4.170881
-29.380201,2.5450377,4.1706023
-29.405867,2.5366664,4.160244
-29.433296,2.5362182,4.1575413
-29.460875,2.5365562,4.1556764
-29.490232,2.5462651,4.1628747
-29.518774,2.5524766,4.166818
-29.545448,2.548741,4.161317
-29.573385,2.5522366,4.1628356
-29.602413,2.562972,4.1713924
-29.630177,2.5666175,4.173238
-29.659433,2.581094,4.1855774
-29.687675,2.5899117,4.1925755
-29.71467,2.5901935,4.191455
-29.74183,2.5919807,4.191867
-29.7667,2.5737317,4.1730776
-29.792385,2.56057,4.15926
-29.819662,2.561841,4.1594186
-29.847427,2.568932,4.1652694
-29.874788,2.5725024,4.167816
-29.903187,2.5912418,4.18507
-29.928543,2.5676308,4.161583
-29.95566,2.5685356,4.161811
-29.982903,2.5723867,4.164967
-30.00976,2.5683947,4.1606407
-30.036276,2.5522413,4.1446643
-30.06355,2.5563006,4.148271
-30.090652,2.5539546,4.1457825
-30.117826,2.555996,4.1476107
-30.144957,2.5473132,4.139174
-30.172073,2.5610075,4.152415
-30.199215,2.5582209,4.149836
-30.226154,2.5662966,4.157823
-30.253056,2.5715635,4.1631823
-30.279732,2.5804956,4.1721597
-30.30677,2.5787058,4.170876
-30.334581,2.5633202,4.156564
-30.362053,2.5573568,4.151427
-30.389416,2.5543418,4.149219
-30.417053,2.548522,4.1443925
-30.444225,2.5492435,4.145957
-30.470234,2.5622501,4.159439
-30.496624,2.569573,4.1675234
-30.523294,2.573371,4.1722956
-30.551857,2.5607238,4.161324
-30.581526,2.5409763,4.143616
-30.609583,2.5356631,4.1398873
-30.635994,2.542617,4.148039
-30.661758,2.5532215,4.1597757
-30.689167,2.5524213,4.160639
-30.71635,2.5531254,4.1630306
-30.744274,2.549603,4.161454
-30.772253,2.546155,4.160038
-30.80124,2.5377727,4.153986
-30.83022,2.530186,4.14879
-30.857111,2.5333982,4.154024
-30.88273,2.5423932,4.164868
-30.909796,2.544311,4.169027
-30.93798,2.5413039,4.1685677
-30.9691,2.5262504,4.1567073
-30.999233,2.5162756,4.1497993
