x,y,z
-23.845188,1.0113647,4.1854815
-23.897217,1.0118706,4.1614704
-23.980991,1.037935,4.1547813
-24.073074,1.0712919,4.1535144
-24.141933,1.0864713,4.14054
-24.229794,1.1176424,4.138863
-24.308105,1.141593,4.1327853
-24.414234,1.1892972,4.143579
-24.542831,1.2568564,4.1688504
-24.600397,1.2654707,4.1537633
-24.675842,1.2896726,4.1499615
-24.74481,1.308847,4.143052
-24.806715,1.3223507,4.132505
-24.869822,1.3372867,4.123331
-24.960447,1.376993,4.1323686
-25.04318,1.4104872,4.1374593
-25.112804,1.432898,4.134969
-25.187454,1.4604146,4.136623
-25.263733,1.490052,4.140278
-25.339628,1.5200038,4.1446147
-25.40797,1.5435755,4.144642
-25.468243,1.5601006,4.139779
-25.534092,1.5823638,4.1395674
-25.602844,1.6079552,4.142241
-25.652218,1.6153731,4.1314864
-25.716005,1.637151,4.131953
-25.777624,1.657325,4.1315393
-25.842089,1.6808383,4.1340365
-25.895733,1.694042,4.1288996
-25.952885,1.7111833,4.127105
-26.024433,1.7435325,4.1375055
-26.055609,1.7348466,4.116075
-26.114542,1.7551205,4.117611
-26.173794,1.77625,4.1201344
-26.252287,1.8184237,4.139715
-26.276154,1.8027542,4.1135325
-26.324728,1.8137519,4.108807
-26.407864,1.8630404,4.135156
-26.454142,1.8725642,4.1298313
-26.486624,1.8669332,4.1124287
-26.531616,1.8754678,4.1066914
-26.598347,1.9091628,4.1217413
-26.647367,1.9232051,4.12102
-26.687923,1.9277651,4.1127257
-26.740986,1.9473035,4.1169944
-26.794853,1.9683328,4.122763
-26.849493,1.9908609,4.1300516
-26.89369,2.0012536,4.127477
-26.935099,2.0085442,4.122506
-26.979015,2.0192356,4.1205792
-27.033148,2.043151,4.130008
-27.07974,2.058101,4.132121
-27.115936,2.0600913,4.1234493
-27.155632,2.0667973,4.1189427
-27.202717,2.0835161,4.123159
-27.257467,2.1109653,4.1367874
-27.294188,2.1148124,4.1304097
-27.32358,2.108835,4.1157193
-27.362654,2.1162138,4.1126695
-27.39972,2.1210592,4.107592
-27.449398,2.144012,4.1183987
-27.49176,2.1571343,4.1208763
-27.529785,2.1643822,4.11841
-27.556778,2.1556754,4.10213
-27.5974,2.1671662,4.103668
-27.636513,2.176776,4.1037254
-27.685598,2.2019997,4.117724
-27.718645,2.2031221,4.110634
-27.747803,2.1982613,4.098363
-27.783403,2.203628,4.0952806
-27.828154,2.224015,4.105719
-27.87508,2.248632,4.1201324
-27.912624,2.2584593,4.1215267
-27.94112,2.2534266,4.1097493
-27.972483,2.253242,4.1024227
-28.006996,2.25861,4.100209
-28.048813,2.277079,4.109951
-28.088428,2.2922647,4.116904
-28.121372,2.2959204,4.113574
-28.152393,2.2962384,4.1073384
-28.180462,2.291141,4.096286
-28.212957,2.2943814,4.0929227
-28.248615,2.3039248,4.0954313
-28.295038,2.3349886,4.1177635
-28.32468,2.3337152,4.110675
-28.35468,2.3332148,4.1043944
-28.38233,2.3279438,4.0938325
-28.413696,2.330379,4.090454
-28.446323,2.335683,4.0898337
-28.485266,2.3549995,4.1022787
-28.52296,2.3723536,4.1130667
-28.55327,2.3737874,4.109249
-28.581121,2.3697197,4.10043
-28.60724,2.3615305,4.087868
-28.640812,2.3708975,4.0917273
-28.67797,2.3894715,4.1042943
-28.70863,2.3927372,4.1027174
-28.741724,2.402406,4.1072316
-28.772764,2.4072552,4.107356
-28.800537,2.4037516,4.09976
-28.829922,2.4045432,4.0962825
-28.85929,2.405415,4.0929775
-28.890884,2.4127145,4.095817
-28.928946,2.439166,4.1168056
-28.961107,2.449489,4.1227384
-28.988913,2.4471762,4.1168585
-29.015617,2.4413967,4.1077905
-29.045954,2.4470177,4.1095886
-29.076199,2.4527233,4.11157
-29.10614,2.4578035,4.113062
-29.139074,2.4736173,4.124838
-29.169561,2.481713,4.1294045
-29.198563,2.484917,4.129425
-29.225815,2.4817955,4.123523
-29.253115,2.478744,4.1177726
-29.280281,2.4750495,4.111494
-29.30939,2.479266,4.1128445
-29.341078,2.4949756,4.125261
-29.371395,2.5057797,4.133102
-29.400305,2.5109558,4.1356673
-29.425407,2.4983459,4.1213136
-29.451853,2.491514,4.112561
-29.478954,2.4876099,4.1066933
-29.506115,2.483774,4.1009736
-29.535099,2.4900303,4.1050153
-29.565912,2.5078259,4.1202226
-29.594488,2.5135257,4.1239243
-29.621986,2.5128508,4.1215944
-29.64846,2.505074,4.1125255
-29.675251,2.4987988,4.10498
-29.702692,2.4968963,4.1017213
-29.73163,2.5072684,4.1103573
-29.759676,2.5112555,4.112941
-29.78848,2.5232177,4.123293
-29.8155,2.518731,4.117894
-29.843098,2.5200624,4.1181846
-29.869747,2.5099645,4.107545
-29.897547,2.5135934,4.110218
-29.925287,2.5172944,4.1130486
-29.952927,2.5203485,4.1153407
-29.980692,2.5270705,4.121257
-30.008291,2.5324254,4.1259413
-30.035591,2.5313773,4.124535
-30.062798,2.526081,4.1191125
-30.090027,2.517258,4.110371
-30.117311,2.4991496,4.092754
-30.1449,2.4955034,4.0891767
-30.172485,2.5005631,4.0940866
-30.199726,2.5236816,4.116507
-30.227169,2.5216863,4.114778
-30.254665,2.519042,4.112508
-30.28265,2.5049577,4.099286
-30.31049,2.4988604,4.0938587
-30.33815,2.4978695,4.0934415
-30.364838,2.5127711,4.108435
-30.392454,2.5112019,4.107629
-30.418913,2.5247996,4.121528
-30.44683,2.5190573,4.1168704
-30.47552,2.5062027,4.1054487
-30.50375,2.4998913,4.100422
-30.532557,2.4893446,4.0914083
-30.559748,2.493953,4.09707
-30.588497,2.4857106,4.0904555
-30.615646,2.4904609,4.0964246
-30.64048,2.5110586,4.1177087
-30.669506,2.5015993,4.110187
-30.702988,2.4649856,4.0766864
-30.731697,2.4607115,4.074345
-30.758482,2.4679706,4.0831585
-30.78398,2.4817371,4.0982895
-30.81266,2.4776788,4.096416
-30.839708,2.4822772,4.1029234
-30.867271,2.484085,4.106843
-30.898022,2.470964,4.0965743
-30.927868,2.4629269,4.09127
-30.961784,2.4378495,4.069798
-30.992363,2.4285626,4.063514
-31.01765,2.4414525,4.078475
-31.043282,2.4522636,4.091526
-31.071543,2.4524593,4.0945487
-31.102688,2.442062,4.0875883
-31.136568,2.422515,4.0720463
-31.169538,2.4073317,4.0607705
-31.197315,2.4106975,4.0672016
-31.223969,2.4176793,4.077145
-31.248535,2.4311028,4.0932636
-31.274696,2.4389176,4.104147
-31.305134,2.4333549,4.102474
-31.343945,2.4031405,4.0776563
-31.371601,2.406951,4.085052
-31.401928,2.403071,4.0852966
-31.433077,2.3971596,4.0837364
