x,y,z
-29.118692,1.2090003,2.8911047
-29.155422,1.2021112,2.881362
-29.20056,1.2367809,2.9115124
-29.240332,1.2465494,2.917974
-29.281265,1.2635825,2.931528
-29.319654,1.2678418,2.932971
-29.363035,1.3022869,2.9635015
-29.402077,1.3132112,2.9716015
-29.439959,1.3177886,2.9737349
-29.477869,1.3231826,2.9767723
-29.515202,1.3250899,2.9765797
-29.552872,1.3299651,2.9793563
-29.590805,1.3378105,2.9851122
-29.62829,1.3428838,2.9883194
-29.665165,1.3430269,2.986899
-29.702246,1.3454206,2.987759
-29.739603,1.3515038,2.9922915
-29.776863,1.3576846,2.997035
-29.813656,1.3589299,2.9971366
-29.850428,1.3602698,2.997445
-29.887503,1.3674581,3.0035076
-29.924286,1.3711467,3.00631
-29.960894,1.3720522,3.0065417
-29.997578,1.3759303,3.0097551
-30.034147,1.3777437,3.0110893
-30.07071,1.3810904,3.014017
-30.107239,1.3866904,3.0192327
-30.143661,1.3794315,3.0121522
-30.180294,1.3585947,2.9920812
-30.2173,1.3349736,2.9694386
-28.615429,1.1029639,2.7987146
-28.65818,1.1131897,2.8037562
-28.695488,1.1058724,2.7921734
-28.737635,1.1149111,2.7963552
-28.775633,1.1099157,2.7872367
-28.820314,1.1290925,2.8014097
-28.862043,1.1384792,2.8063455
-28.90765,1.1635811,2.8265128
-28.948948,1.1732094,2.8319726
-28.991465,1.188631,2.8431416
-29.033398,1.2027524,2.8532052
-29.074783,1.2155702,2.862154
-29.117044,1.2334812,2.8761516
-29.159018,1.2515123,2.89041
-29.2007,1.2696621,2.904924
-29.240572,1.2800932,2.912125
-29.283583,1.3084507,2.9367814
-29.321072,1.3084111,2.9341264
-29.359404,1.313462,2.9365144
-29.397423,1.3171875,2.937739
-29.435488,1.3217266,2.9398737
-29.47379,1.3285093,2.9443007
-29.511684,1.3332491,2.9468708
-29.549501,1.338089,2.9496565
-29.58715,1.3423133,2.951964
-29.625137,1.3502119,2.9579554
-29.66224,1.3510563,2.9572163
-29.699535,1.3541439,2.9587722
-29.736717,1.356612,2.9598427
-29.773972,1.3606086,2.9625125
-29.811005,1.3625541,2.9633045
-29.84819,1.3674595,2.9670882
-29.885214,1.3710289,2.9696884
