x,y,z
-29.059975,1.1174805,2.8069549
-29.098303,1.1147285,2.8009877
-29.138157,1.1192207,2.8020706
-29.177076,1.1195297,2.7992768
-29.217777,1.1292388,2.8056107
-29.257528,1.1347647,2.8080678
-29.295422,1.130372,2.8011417
-29.333984,1.1296582,2.7978625
-29.3729,1.1311932,2.7968616
-29.411896,1.1335468,2.79677
-29.450956,1.1367195,2.7975879
-29.490646,1.1450162,2.8034563
-29.529652,1.1491125,2.8054113
-29.568415,1.1518748,2.8062067
-29.606972,1.1533017,2.8058367
-29.645576,1.1555469,2.8063765
-29.683659,1.1528625,2.8022876
-29.72229,1.1560252,2.8039498
-29.76087,1.1592882,2.8058305
-29.798925,1.1561806,2.8016891
-29.837168,1.1553276,2.7998395
-29.875668,1.1588879,2.8023648
-29.914072,1.1618288,2.804412
-29.952488,1.166307,2.8080616
-29.990713,1.1672878,2.808456
-30.028923,1.1683664,2.8090634
-30.06715,1.1717019,2.811966
-30.10529,1.1715379,2.8116107
-30.143435,1.173631,2.813552
-30.18155,1.1751022,2.8150096
-30.219683,1.1737928,2.8139033
-30.257805,1.174021,2.8143978
-30.29581,1.1779447,2.8185754
-30.3342,1.1704545,2.8118596
-30.372505,1.1673803,2.8095226
-30.41035,1.1737552,2.8164177
-30.44868,1.1708777,2.8145084
-30.487257,1.1652229,2.81004
-30.525642,1.1632633,2.8092537
-30.564182,1.1599653,2.8072982
-30.60237,1.1610787,2.8097124
-30.640026,1.1673193,2.8171816
-30.677504,1.1743724,2.8255482
-30.71504,1.1800847,2.8327394
-30.752308,1.1873276,2.8415165
-30.78946,1.194664,2.8504972
-30.825987,1.2056804,2.8631272
-30.861374,1.2232392,2.8821516
-30.89671,1.2394497,2.8999825
-30.9331,1.247864,2.9104347
-30.970104,1.2520733,2.916963
-31.006264,1.2606702,2.9278111
-31.042017,1.270788,2.9402246
-31.077753,1.2802784,2.9521441
-31.113342,1.2898569,2.964254
-31.149546,1.2959514,2.9731393
-31.184704,1.3064206,2.9863143
-31.219372,1.3184025,3.0010376
-31.256569,1.3190582,3.0050569
-31.292881,1.3233743,3.0126839
-31.326956,1.3363285,3.0286493
-31.361576,1.3465166,3.0420818
-31.396616,1.3546553,3.053667
-31.443003,1.3216605,3.0262823
