x,y,z
-32.471092,0.89728045,2.7528853
-32.275352,1.4073455,3.23111
-32.3003,1.4343793,3.2628837
-32.33856,1.4330144,3.2685833
-32.44314,1.2966833,3.150478
-32.466595,1.3275278,3.186185
-32.48783,1.3618538,3.225113
-32.510323,1.3927472,3.2609272
-32.53126,1.4257317,3.2986798
-32.56086,1.4415298,3.3208113
-32.591705,1.4546413,3.3405824
-32.624996,1.4630196,3.3561492
-32.658543,1.4707942,3.371276
-32.693527,1.4759164,3.384112
-32.728825,1.4804466,3.396532
-32.76207,1.4884825,3.4122229
-32.79761,1.4925134,3.4244266
-32.833504,1.49596,3.4362273
-32.871822,1.4954295,3.444601
-32.910576,1.4943306,3.452608
-32.963314,1.4710045,3.4409928
-32.974846,1.5134232,3.4879436
-33.004818,1.526124,3.5085545
-33.033287,1.5409133,3.5310974
-33.10501,1.4898562,3.4957194
-33.138916,1.4968219,3.5116873
-33.180885,1.4918118,3.517274
-33.230267,1.4762275,3.5137858
-33.283592,1.4554682,3.5060043
-33.322227,1.4562311,3.5171824
-33.378376,1.4324844,3.5072527
-33.42626,1.4208972,3.508103
-33.468037,1.4180889,3.5167322
-33.517666,1.4048216,3.5165367
-33.55171,1.4128587,3.5348287
-33.57269,1.4381235,3.5679626
-33.592293,1.4647257,3.602264
-33.60186,1.5038188,3.6471996
-33.63033,1.5179739,3.6709638
-33.65859,1.5321915,3.6948633
-33.693424,1.5379858,3.7117567
-33.727123,1.5451791,3.7299495
-33.756462,1.5576627,3.7526875
-33.78294,1.5734575,3.778276
-33.815136,1.5821872,3.7980685
-33.846657,1.5916467,3.8185782
-33.875835,1.6037643,3.8413887
-33.90928,1.6108072,3.8601217
-33.941494,1.619225,3.880105
-33.974716,1.6264482,3.899228
-34.012375,1.6286528,3.9143977
-34.043697,1.6379812,3.9354882
-34.0795,1.6423051,3.9526563
-34.12047,1.6410267,3.965468
-34.15852,1.643044,3.9810977
-34.1989,1.642654,3.994969
-34.24463,1.6367264,4.004628
-34.28324,1.6384935,4.0205803
-34.325443,1.6366227,4.033839
-35.565407,0.71040726,3.4368515
-35.50993,0.8121476,3.5336366
-35.470394,0.89698005,3.6171374
-35.49819,0.91680145,3.6514568
-35.50815,0.9531169,3.6981611
-35.52872,0.9790735,3.7371244
-35.548275,1.0056546,3.776576
-35.504517,1.0896106,3.8581777
-35.509613,1.1280982,3.906129
-35.52088,1.1605244,3.949595
-35.54047,1.1851435,3.987389
-35.542755,1.2247036,4.0359344
-35.543816,1.2647891,4.0847526
-35.55737,1.293525,4.125412
-35.570526,1.3222506,4.1660504
-35.60965,1.3285513,4.1909666
-35.721222,1.2738166,4.173587
-35.82155,1.2295454,4.1641774
-35.921,1.1868818,4.1565204
-35.985527,1.1737847,4.1696806
-36.102207,1.1185408,4.154661
-36.175148,1.0997162,4.164927
-36.252613,1.0777256,4.173521
-36.336834,1.0508766,4.179375
-36.47443,0.9825227,4.158441
-36.601883,0.9233713,4.1444726
-36.681572,0.9023936,4.15613
-36.829346,0.8295109,4.1348987
-36.896446,0.81955457,4.154869
-37.047024,0.74669814,4.135428
-37.143085,0.71612716,4.1436005
-32.27441,1.3517799,3.135212
-32.28431,1.4126716,3.1987195
-32.308754,1.4410207,3.2319236
-32.38636,1.3589027,3.1626463
-32.438694,1.3308976,3.1438913
-32.456905,1.3719583,3.18924
-32.47905,1.4040756,3.2263312
-32.502483,1.43278,3.260304
-32.523308,1.4656305,3.2981286
-32.552437,1.4820523,3.3208876
-32.588013,1.4862177,3.332488
-32.61108,1.5130267,3.3649216
-32.644447,1.5207593,3.3799748
-32.680416,1.523807,3.3908648
-32.712807,1.5330749,3.4075322
-32.75103,1.5322318,3.4151254
-32.785637,1.5376029,3.428483
-32.82303,1.5383241,3.437755
-32.875298,1.5148077,3.4253082
-32.880615,1.5677636,3.4818873
-32.91607,1.5714533,3.4941697
-32.97335,1.5409195,3.4759274
-33.008522,1.5455303,3.4893503
-33.04758,1.5442,3.4976
-33.093323,1.5329409,3.4971685
-33.13205,1.5325265,3.506547
-33.169876,1.5335596,3.5173516
