x,y,z
-23.651604,0.8170252,4.03251
-23.715696,0.8257382,4.013306
-23.84068,0.88386774,4.0276566
-23.912151,0.89961195,4.0141754
-24.028889,0.9528973,4.0266805
-24.1252,0.9903481,4.029095
-24.185936,0.9989228,4.01219
-24.323446,1.07236,4.0406833
-24.35719,1.0591958,4.009543
-24.461613,1.1064193,4.0210266
-24.562698,1.1517258,4.031816
-24.608547,1.1498959,4.009667
-24.71627,1.2024951,4.0267444
-24.763199,1.2023296,4.0064726
-24.849773,1.2377181,4.0122075
-24.961931,1.2969332,4.035837
-25.00298,1.29269,4.0136523
-25.059273,1.3024943,4.002009
-25.158712,1.3525503,4.0204997
-25.20538,1.3543651,4.003656
-25.274048,1.3770816,4.002695
-25.363003,1.419646,4.017062
-25.407938,1.4208779,4.0006866
-25.475725,1.4444015,4.001475
-25.568428,1.4928594,4.021693
-25.607231,1.489162,4.002422
-25.675339,1.514718,4.0058856
-25.74681,1.5442739,4.0128274
-25.81359,1.5697563,4.0169964
-25.860523,1.5755157,4.0061083
-25.912832,1.5870731,3.999999
-25.970993,1.6050982,3.9992552
-26.042025,1.6371868,4.0099564
-26.087757,1.6430688,4.0002003
-26.1387,1.6547987,3.9953299
-26.208721,1.6876273,4.007636
-26.285225,1.7283602,4.02669
-26.337048,1.7426639,4.0248027
-26.380701,1.7482214,4.016075
-26.420889,1.750088,4.004537
-26.460493,1.7514429,3.9927568
-26.511198,1.765775,3.9917984
-26.559494,1.7777147,3.9891143
-26.600515,1.7814343,3.9798641
-26.660452,1.8079257,3.989684
-26.706041,1.8177941,3.9859738
-26.752554,1.8291187,3.9836893
-26.793097,1.8334448,3.9757528
-26.849794,1.8581228,3.985105
-26.909245,1.8869364,3.9982285
-26.944647,1.8858507,3.9863515
-26.993296,1.9019332,3.9891872
-27.042717,1.9195042,3.9935188
-27.089884,1.9346168,3.9959846
-27.110622,1.9149086,3.9688373
-27.124798,1.8859715,3.9338021
-27.115646,1.8245621,3.870782
-27.13331,1.7988789,3.8384728
-27.106237,1.7100234,3.7514424
-27.131706,1.6935794,3.7270446
-27.107195,1.6050937,3.6399503
-27.119423,1.5678928,3.597386
-27.145397,1.5500987,3.5717912
-27.113577,1.4457886,3.4703012
-27.113577,1.3869417,3.4085097
-27.119734,1.3360894,3.3536615
-27.086199,1.222456,3.2432117
-27.094349,1.1713915,3.1879048
-27.12068,1.1480219,3.1571488
-27.127632,1.0928411,3.0981097
-27.122974,1.0172386,3.0207672
-27.144024,0.98231244,2.9796724
-27.141338,0.9065423,2.9019675
-27.168936,0.8804469,2.8687644
-23.566221,0.83007073,4.0261197
-23.687153,0.8829191,4.036217
-23.738113,0.8812597,4.0103526
-23.876797,0.94995856,4.03255
-23.963875,0.9783132,4.0280814
-24.053461,1.0093486,4.0260005
-24.126404,1.0274048,4.015475
-24.224478,1.0667255,4.020223
-24.327665,1.1111424,4.029169
-24.387135,1.1196663,4.013393
-24.512983,1.184855,4.0382576
-24.560198,1.1839721,4.0166454
-24.654,1.2234714,4.02435
-24.747301,1.2633705,4.0329223
-24.789331,1.2590463,4.009843
-24.868444,1.2876761,4.0111103
-24.959232,1.3274028,4.0210214
-25.005623,1.3279066,4.002415
-25.119427,1.3899565,4.0298944
-25.17133,1.3963814,4.0164185
-25.238823,1.4175189,4.014288
-25.30734,1.4401367,4.013654
-25.38845,1.4751983,4.02287
-25.443483,1.4861891,4.014155
-25.512371,1.510844,4.0162253
-25.589144,1.5437486,4.025048
-25.629696,1.5419085,4.0073543
-25.696466,1.5660996,4.010132
-25.768482,1.5961196,4.0178385
-25.807503,1.5935771,4.000335
-25.881365,1.62658,4.0110836
-25.931131,1.6355855,4.0032034
-25.974157,1.6378989,3.9902334
-26.05838,1.6835563,4.0121474
-26.101048,1.6862607,4.0000257
-26.140738,1.685961,3.9856715
-26.2406,1.7507458,4.0242205
-26.30361,1.7767708,4.0318294
-26.3559,1.7916365,4.03066
-26.403988,1.8022482,4.026262
-26.443434,1.8034816,4.014376
-26.475565,1.7965469,3.9959154
-26.520607,1.8044083,3.9898357
-26.568851,1.8162692,3.9872894
-26.621857,1.8340812,3.9899383
-26.668087,1.8443637,3.9865408
-26.726553,1.8696439,3.9959607
-26.776112,1.884804,3.9971414
-26.810638,1.8820024,3.9833593
-26.878233,1.9202006,4.004515
-26.908905,1.9131317,3.9874763
-26.952032,1.9217894,3.9839792
-27.019,1.9612908,4.0071054
-27.066694,1.9768436,4.0099945
-27.09965,1.9735482,3.9968543
-27.113823,1.9453788,3.9623275
-27.122034,1.9086487,3.9203744
-27.11573,1.8514383,3.8605657
-27.131912,1.8238554,3.8264546
-27.103292,1.7333839,3.7373514
-27.12076,1.7056973,3.7030158
-27.098095,1.6202114,3.6178708
-27.116356,1.591775,3.582766
-27.119534,1.5406768,3.527646
-27.132496,1.5028722,3.4842176
-27.129967,1.4409597,3.419353
-27.105877,1.344764,3.3238344
-27.084976,1.2510445,3.230259
-27.093494,1.200844,3.1753726
-27.112135,1.1654172,3.1336746
-27.116163,1.1057036,3.0701523
-27.118185,1.041188,3.002212
-27.131853,0.99418736,2.9499798
-27.122322,0.90716505,2.861505
-27.146917,0.87567115,2.823196
-23.308773,0.8050239,4.035547
-23.413498,0.8425493,4.034121
-23.504566,0.8703809,4.0268846
-23.617973,0.91613245,4.0323143
-23.709013,0.94535756,4.0272527
-23.797537,0.9732592,4.0218573
-23.91814,1.0272391,4.034989
-23.977894,1.0336161,4.0158696
-24.118135,1.1051853,4.0426397
-24.18657,1.1197166,4.030219
-24.260483,1.1391468,4.021661
-24.336971,1.161197,4.0154047
-24.418774,1.188216,4.0131645
-24.532852,1.2430203,4.0314627
-24.591717,1.2520554,4.0172625
-24.682728,1.2889256,4.023709
-24.759623,1.3143973,4.022336
-24.82534,1.3307269,4.01466
-24.913109,1.3668752,4.0220747
-24.976946,1.3825867,4.0147476
-25.06124,1.4170294,4.0218444
-25.146404,1.4530201,4.0306077
-25.187656,1.4497955,4.0100994
-25.257742,1.47316,4.0100727
-25.348318,1.5161004,4.025457
-25.39569,1.519521,4.010909
-25.475111,1.5534203,4.020207
-25.54196,1.5760982,4.021226
-25.599005,1.5898974,4.0156636
-25.6609,1.6088004,4.0144105
-25.723162,1.6285558,4.0141616
-25.799427,1.6626842,4.0256453
-25.833937,1.6558545,4.0049243
-25.887516,1.6682694,3.999741
-25.940317,1.6802623,3.9944873
-26.014668,1.7147937,4.0076895
-26.069372,1.7297168,4.00541
-26.109608,1.729873,3.9913878
-26.197622,1.7808068,4.0190344
-26.252716,1.7976406,4.019208
-26.311058,1.8184497,4.022934
-26.360456,1.8300354,4.019331
-26.405687,1.8373787,4.012445
-26.452515,1.8467767,4.007477
-26.500898,1.8582408,4.0044565
-26.548,1.8686056,4.000741
-26.597166,1.8816836,3.9995303
-26.637907,1.8853607,3.9906082
-26.692745,1.9058075,3.9960804
-26.742428,1.9206874,3.9970865
-26.795637,1.9402449,4.0023212
-26.839544,1.9490507,3.9986062
-26.87912,1.9528432,3.990777
-26.927486,1.967757,3.992702
-26.96841,1.9737706,3.987156
-27.035309,2.0130358,4.010621
-27.07732,2.0213356,4.0074983
-27.102661,2.0082607,3.9859085
-27.120249,1.9847901,3.9552946
-27.152443,1.980315,3.9413671
-27.149166,1.9280577,3.885508
-27.10667,1.8211758,3.7813282
-27.106794,1.7706089,3.7266006
-27.102482,1.7127097,3.6652665
-27.11585,1.6784928,3.6248684
-27.112173,1.6191115,3.5620117
-27.113047,1.5649335,3.5036778
-27.141403,1.5498655,3.4802995
-27.111874,1.44836,3.3793292
-27.094486,1.3626146,3.2922559
-27.084078,1.2853727,3.212638
-27.108522,1.2601521,3.1799178
-27.11585,1.2075012,3.1223617
-27.122711,1.1527841,3.062859
-27.127073,1.092634,2.9983335
-27.119598,1.0115464,2.9146013
-27.134888,0.96605563,2.863276
-27.132023,0.888813,2.7828112
-27.169525,0.8784027,2.76362
-23.135183,0.81333804,4.0325418
-23.258682,0.86287165,4.0385447
-23.322126,0.86852765,4.0159016
-23.494282,0.9563434,4.049222
-23.557125,0.9627645,4.0282383
-23.690987,1.0238471,4.0451517
-23.74973,1.0281172,4.023659
