x,y,z
-29.058214,1.1096287,2.7994547
-29.099848,1.12187,2.807815
-29.138157,1.1192207,2.8020706
-29.17679,1.1180997,2.7979093
-29.216951,1.1249471,2.8015003
-29.256605,1.1297553,2.8032665
-29.295675,1.131804,2.802515
-29.33531,1.1375375,2.8054223
-29.374277,1.1397924,2.8051171
-29.412989,1.1407158,2.803656
-29.451267,1.1388707,2.7996554
-29.490843,1.146451,2.8048363
-29.530113,1.1527007,2.8088627
-29.568762,1.1547465,2.808969
-29.607779,1.1604829,2.812749
-29.646627,1.1656034,2.816059
-29.684977,1.1665142,2.8154364
-29.723055,1.1646497,2.8122597
-29.761276,1.1643202,2.810679
-29.799604,1.1655271,2.8107
-29.838099,1.1697094,2.8137064
-29.87636,1.1711147,2.814156
-29.914528,1.1711795,2.8134317
-29.952665,1.1706233,2.8122258
-29.990808,1.1701653,2.8112326
-30.028976,1.1705246,2.8111458
-30.067259,1.1781778,2.8182154
-30.105413,1.18521,2.8248048
-30.14344,1.1793873,2.819107
-30.181543,1.1758215,2.8157043
-30.219662,1.1752322,2.815292
-30.257624,1.181936,2.8220348
-30.295502,1.1880171,2.8282938
-30.332922,1.2035475,2.8437848
-30.370161,1.2177336,2.8580928
-30.407646,1.2233827,2.8642812
-30.44513,1.2276888,2.869289
-30.48204,1.2392805,2.881435
-30.518711,1.2516842,2.894475
-30.555246,1.2634604,2.907022
-30.591257,1.2789209,2.9232287
-30.627243,1.292315,2.9375496
-30.662937,1.3065162,2.9527564
-30.698833,1.3172154,2.9646997
-30.73483,1.3258507,2.9747648
-30.770885,1.3331409,2.983645
-30.806826,1.3405218,2.992722
-30.842434,1.3494263,3.0033703
-30.878357,1.3555529,3.0114598
-30.915136,1.3560388,3.014244
-30.95141,1.3594842,3.0199833
-30.987242,1.3651698,3.0279808
-31.023392,1.3687985,3.0341182
-31.06076,1.3660846,3.0342937
-31.09685,1.369901,3.0408368
-31.133032,1.3730953,3.0468965
-31.170277,1.3713849,3.0483837
-31.20591,1.3769073,3.0568938
-31.245872,1.3639803,3.0479126
-28.571144,1.0886314,2.7899065
-28.616762,1.1071968,2.802753
-28.65623,1.1068358,2.797688
-28.696121,1.1079919,2.7941995
-28.740717,1.1255174,2.8065047
-28.77983,1.1247752,2.8014688
-28.820507,1.1298006,2.8020878
-28.861477,1.1363535,2.804306
-28.90472,1.152236,2.8156185
-28.945751,1.1604373,2.819697
-28.984587,1.1602318,2.815825
-29.024918,1.1665211,2.8183274
-29.06418,1.1686549,2.8169594
-29.103405,1.170892,2.815814
-29.141693,1.1689632,2.8107758
-29.181156,1.1728294,2.8114505
-29.221247,1.1803615,2.815792
-29.261477,1.1894274,2.821744
-29.300293,1.1914711,2.8210363
-29.339071,1.1936164,2.8205504
-29.37793,1.1965773,2.8209739
-29.41564,1.1924999,2.814704
-29.454866,1.1985178,2.8183312
-29.49429,1.2067838,2.8242612
-29.533764,1.2165833,2.8318057
-29.571861,1.2164783,2.829866
-29.609634,1.2136111,2.8253622
-29.6476,1.2122712,2.8224564
-29.686075,1.2160382,2.8246284
-29.724293,1.2177577,2.8249311
-29.762249,1.2167125,2.8226643
-29.800379,1.2179127,2.8226986
-29.838017,1.21205,2.815981
-29.87657,1.220609,2.8234057
-29.91495,1.2285514,2.8303485
-29.953201,1.2365937,2.8375087
-29.991083,1.2375696,2.8379116
-30.028856,1.2350602,2.8350391
