x,y,z
-30.214247,1.5414867,3.1687174
-30.24992,1.5208311,3.1490397
-30.286938,1.4671726,3.097632
-30.32728,1.3495874,2.984673
-30.356792,1.5047457,3.1349425
-30.38682,1.6052971,3.2326126
-30.418667,1.6512554,3.2777147
-30.450085,1.6929727,3.3188167
-30.48197,1.720386,3.3462195
-30.514536,1.7349381,3.361321
-30.546602,1.752445,3.3793664
-30.57905,1.7635641,3.391354
-30.61148,1.7733281,3.4021335
-30.643759,1.7831719,3.4130883
-30.676062,1.7916608,3.4228354
-30.708714,1.796643,3.4293084
-30.741081,1.8031425,3.4373393
-30.773672,1.8075714,3.4434795
-30.80574,1.81495,3.4525523
-30.83781,1.8216918,3.4611092
-30.86903,1.8328109,3.4739623
-30.901245,1.8375638,3.480804
-30.934885,1.8345284,3.4802823
-30.966166,1.8437381,3.491593
-30.999363,1.8430185,3.4934964
-31.032576,1.842386,3.4955878
-31.067543,1.8339877,3.490366
-31.100512,1.8349605,3.4942064
-31.131258,1.8452883,3.5070758
-31.163599,1.8485646,3.5133133
-31.200235,1.8348317,3.5034513
-31.231117,1.8439775,3.5154886
-31.264164,1.8446641,3.5195737
-31.298193,1.8418832,3.520471
-31.331047,1.8434556,3.5256114
-31.359282,1.8607252,3.5457401
-31.395828,1.8496923,3.5391345
-31.42573,1.860729,3.5535402
-31.467419,1.8343143,3.5326319
-31.500277,1.8363268,3.5387263
-31.535711,1.8306501,3.537674
-31.571236,1.825073,3.5368361
-31.600409,1.8379388,3.5534768
-31.587336,1.9678826,3.6802444
-31.60459,2.0096447,3.7240405
-31.626743,2.0366404,3.7540002
-31.650908,2.0573435,3.7781096
-31.67613,2.074581,3.7990336
-31.704174,2.0841537,3.8128624
-31.731215,2.0958943,3.8287954
-31.75691,2.1104963,3.847468
-31.785648,2.1174612,3.859106
-31.815187,2.1224015,3.8689513
-31.839115,2.1399746,3.8906035
-31.865591,2.1513224,3.9065495
-31.896036,2.1536808,3.9142613
-31.924505,2.1602914,3.9259958
-31.948923,2.1753056,3.9455638
-31.976126,2.1841266,3.959495
-32.007275,2.1847014,3.9659352
-32.03738,2.1874363,3.9744616
-32.066044,2.1930149,3.985691
-32.093918,2.2000456,3.9983377
-32.12168,2.207146,4.011134
-32.150806,2.2115612,4.0215745
-32.181355,2.2133043,4.0296817
-32.208485,2.2213058,4.043568
-32.256516,2.1916847,4.0234985
-33.381546,1.0060341,3.0588093
-33.370758,1.087018,3.140893
-33.39735,1.110112,3.171917
-33.42587,1.1298974,3.2000966
-33.375664,1.2641418,3.3283968
-33.39115,1.3005257,3.370922
-33.409386,1.332233,3.4093666
-33.420517,1.3732595,3.4558969
-33.41191,1.4408238,3.5253348
-33.40037,1.5109074,3.5967703
-33.40977,1.5510659,3.6422834
-33.4314,1.5740154,3.6729956
-33.431778,1.6246784,3.7274327
-33.420353,1.689734,3.7940273
-33.4161,1.7441423,3.8513894
-33.426933,1.778132,3.8913212
-33.45175,1.7937865,3.9157386
-33.444504,1.8493016,3.9737692
-33.42645,1.9170749,4.041929
-33.426006,1.9619298,4.0906982
-33.452248,1.9736285,4.111734
-33.468586,1.997037,4.1425753
-33.474228,2.0327256,4.183592
-33.510147,2.0322833,4.1947536
-33.565475,2.0094485,4.1876674
-33.612183,1.9970914,4.1894455
-33.68161,1.9592979,4.170703
-33.73111,1.9447806,4.171261
-33.777946,1.9336306,4.1747904
-33.831287,1.9156554,4.173045
-33.894184,1.8877339,4.163587
-33.951603,1.8663903,4.1597333
-33.99691,1.8585232,4.1669173
-34.05006,1.8426296,4.167954
-34.10642,1.8237946,4.166942
-34.15337,1.8152016,4.1742835
-34.193134,1.8142759,4.1878605
-34.240253,1.8059989,4.1958885
-34.302277,1.7829653,4.192699
-34.39504,1.7297828,4.166563
-34.471634,1.693708,4.1541467
-34.54242,1.664124,4.1471443
-34.616764,1.6317518,4.1384254
-34.661552,1.6285369,4.1522326
-34.727562,1.6052742,4.1511445
-34.780945,1.5944862,4.159788
-34.842915,1.5759816,4.1629558
-34.9025,1.5601494,4.168453
-34.966232,1.5409145,4.1717696
-35.04345,1.5098557,4.1667647
-35.12573,1.4749038,4.1593785
-35.196384,1.4511061,4.160593
-35.29296,1.4048469,4.1460066
-35.366386,1.3798997,4.1473255
-35.43261,1.3618002,4.153969
-35.53061,1.3166676,4.1418257
-35.591225,1.3045015,4.1535406
-35.690132,1.2601283,4.1430426
-35.78052,1.2238307,4.1388
-35.850304,1.2055085,4.147557
-35.96754,1.1483073,4.130025
-36.024517,1.1417391,4.147817
-36.131424,1.094727,4.1385255
-36.248207,1.0406601,4.1251907
-36.3462,1.0026975,4.1233983
-36.41497,0.98874617,4.138169
-36.518784,0.9475441,4.135413
-36.624535,0.90565324,4.1328955
-36.73003,0.8647959,4.131752
-36.864758,0.802258,4.1173673
-30.21223,1.6417725,3.230403
-30.247215,1.6247783,3.2141109
-30.28845,1.4115379,3.006988
-30.322155,1.4828739,3.0768695
-30.353256,1.5858102,3.1775818
-30.384314,1.6594427,3.2498732
-30.41607,1.703062,3.2930603
-30.447636,1.7395942,3.3294468
-30.48064,1.7504263,3.3409424
-30.512978,1.767067,3.3581805
-30.54471,1.7873652,3.379067
-30.576855,1.8005853,3.3931704
-30.608154,1.819607,3.413001
-30.641018,1.8229716,3.4177275
-30.672289,1.8385727,3.434424
-30.704563,1.8449593,3.4422765
-30.737144,1.8485696,3.447536
-30.770098,1.8494065,3.4502063
-30.801796,1.8581805,3.4606647
-30.833473,1.866319,3.4706025
-30.867266,1.8616991,3.4682927
-30.898397,1.8721378,3.48065
-30.931541,1.8712533,3.4821577
-30.964558,1.8711674,3.4845395
-30.983591,1.9387856,3.5523558
-31.015007,1.9438143,3.5598335
-31.045235,1.9538991,3.572278
-31.074976,1.9654782,3.5862498
-31.107252,1.9657655,3.5894427
-31.138824,1.9689758,3.5955462
-31.173065,1.9616287,3.5916066
-31.20705,1.9557934,3.589232
-31.244783,1.9365942,3.5741534
