x,y,z
-23.561256,0.83003306,4.0918794
-23.650057,0.85782814,4.084614
-23.750864,0.89576817,4.0846267
-23.872854,0.95144176,4.097116
-23.919579,0.9474993,4.070387
-24.06629,1.0249584,4.0989423
-24.143185,1.0466213,4.0905013
-24.225481,1.0732703,4.0859447
-24.32994,1.119005,4.095066
-24.382833,1.1223035,4.0753775
-24.517012,1.1947479,4.104316
-24.547997,1.1803117,4.073016
-24.652723,1.229397,4.086804
-24.749313,1.2723985,4.096924
-24.81071,1.2853978,4.086149
-24.907759,1.3303363,4.0987377
-24.97334,1.3480985,4.09223
-25.036701,1.3643138,4.0849643
-25.135696,1.4133551,4.1021194
-25.18129,1.414424,4.0845246
-25.255726,1.4423444,4.0870547
-25.321333,1.4626591,4.0843487
-25.382795,1.4795723,4.0794616
-25.453049,1.5052869,4.0815377
-25.508266,1.5171766,4.0735526
-25.586826,1.5520277,4.083317
-25.621405,1.544656,4.0612736
-25.698692,1.579426,4.0717278
-25.769913,1.6089354,4.0785685
-25.82467,1.6225758,4.0735116
-25.896431,1.6538649,4.08248
-25.955578,1.6729529,4.082309
-26.006605,1.6841278,4.0762362
-26.070696,1.7092979,4.08146
-26.130865,1.7309444,4.084239
-26.213818,1.7774236,4.1070943
-26.250307,1.7749333,4.0913057
-26.2915,1.7776258,4.0798287
-26.36621,1.8173003,4.098319
-26.428312,1.8439093,4.1066637
-26.458149,1.835021,4.086527
-26.5045,1.8447623,4.0816746
-26.561922,1.8674887,4.087661
-26.622356,1.8942896,4.0972857
-26.658157,1.8929895,4.084078
-26.707098,1.9072884,4.083912
-26.745537,1.9094735,4.0739317
-26.804363,1.9364129,4.0847235
-26.849485,1.9473395,4.082442
-26.884949,1.946706,4.0706787
-26.921991,1.9481373,4.0607944
-26.972492,1.9666777,4.0654974
-27.024778,1.9880217,4.072816
-27.063013,1.9918405,4.0655103
-27.08506,1.974739,4.0405536
-27.134817,1.993913,4.046629
-27.193192,2.0251493,4.063274
-27.232012,2.030816,4.0582447
-27.27511,2.042571,4.0586243
-27.306997,2.0392034,4.046128
-27.353655,2.0565434,4.0516915
-27.393944,2.0653868,4.050086
-27.44433,2.0890465,4.0615606
-27.487001,2.102192,4.064088
-27.518553,2.0994053,4.052851
-27.555994,2.1054301,4.0494637
-27.591118,2.1082115,4.0433736
-27.643797,2.138033,4.0612807
-27.679064,2.1417465,4.056345
-27.709541,2.1381354,4.0450535
-27.750692,2.1515245,4.048976
-27.780725,2.147429,4.0374985
-27.824497,2.1658149,4.0461946
-27.870447,2.1884308,4.058868
-27.902304,2.188057,4.051131
-27.931767,2.183682,4.0399127
-27.96602,2.1875799,4.0362434
-28.009155,2.2073116,4.0469923
-28.053902,2.230616,4.0611577
