x,y,z
-27.505322,1.1806138,2.884644
-26.992115,1.2564895,3.0341153
-27.04015,1.2655077,3.032641
-27.081596,1.2648046,3.0222182
-27.134918,1.282682,3.029437
-27.177898,1.2848876,3.022087
-27.222078,1.2892044,3.016889
-27.264956,1.2916663,3.0100942
-27.307785,1.2942533,3.003573
-27.352556,1.3002901,3.000485
-27.398006,1.3077929,2.998959
-27.440231,1.3101015,2.9926414
-27.479736,1.3078592,2.9821177
-27.51851,1.3043876,2.9705462
-27.556961,1.3003507,2.958559
-27.591805,1.2897115,2.940343
-27.618502,1.2637119,2.9074268
-27.604694,1.160428,2.7999563
-26.796532,1.2566504,3.020874
-26.842918,1.2616987,3.0150986
-26.88471,1.2603939,3.0035105
-26.936312,1.2735276,3.0057116
-26.982414,1.2790074,3.0008721
-27.029728,1.2865891,2.9982004
-27.079062,1.2975903,2.9989614
-27.123114,1.3008859,2.9925709
-27.164167,1.2997186,2.9820776
-27.212276,1.3098443,2.9825344
-27.258987,1.3181467,2.9814258
-27.302324,1.3213177,2.9755611
-27.3464,1.3259377,2.9712462
-27.388817,1.3280427,2.9646626
-27.430025,1.3282835,2.9564257
-27.471987,1.329968,2.949727
-27.512402,1.3291147,2.9407105
-27.553564,1.3297052,2.9332328
-27.594341,1.329746,2.9253583
-27.634384,1.3285654,2.9164286
-27.667664,1.3147962,2.8953333
-27.674477,1.2502384,2.8246346
-27.6716,1.164846,2.7334437
-26.55371,1.2034862,2.9556475
-26.614864,1.2262609,2.9658842
-26.674236,1.2473311,2.974773
-26.724867,1.2570589,2.9731607
-26.768414,1.2573056,2.9627366
-26.820162,1.2692764,2.9636402
-26.865843,1.2730284,2.9569006
-26.914131,1.2807984,2.954175
-26.962286,1.2887211,2.9517813
-27.009432,1.2954979,2.9484687
-27.059044,1.3063209,2.949232
-27.105495,1.3127465,2.945941
-27.153934,1.3225756,2.9461145
-27.198885,1.327333,2.9415555
-27.240469,1.326993,2.9322062
-27.286095,1.3333232,2.929491
-27.333607,1.3430743,2.9302793
-27.373459,1.3404851,2.9191856
-27.417622,1.345247,2.9154181
-27.459394,1.3461843,2.9080563
-27.504927,1.3538435,2.9074388
-27.545847,1.3537061,2.8993125
-27.58455,1.3497105,2.887518
-27.622948,1.345155,2.8752923
-27.661762,1.3413651,2.8639436
-27.698872,1.3343539,2.849525
-27.700062,1.2581885,2.7665858
-27.691227,1.1599319,2.661584
-26.26351,1.105423,2.851668
-26.327528,1.1282516,2.8611312
-26.401516,1.1645694,2.8836746
-26.467121,1.1910467,2.8972006
-26.545322,1.2348793,2.927568
-26.59752,1.2453532,2.926412
-26.649069,1.2553627,2.9250193
-26.69998,1.2649035,2.9233785
-26.750265,1.2739706,2.9214811
-26.796738,1.2780807,2.9149957
-26.844488,1.2842574,2.9106812
-26.892578,1.2912247,2.9073105
-26.940985,1.2989869,2.9048939
-26.98969,1.3075464,2.9034367
-27.033072,1.308512,2.8947515
-27.082394,1.3186591,2.8951974
-27.129856,1.3263724,2.893443
-27.17427,1.3296905,2.8875504
-27.21862,1.3331409,2.8819442
-27.264523,1.3393276,2.8791904
-27.310314,1.3456535,2.8767405
-27.352043,1.3455884,2.8681297
-27.39493,1.3476036,2.8617215
-27.440845,1.3549833,2.8607845
-27.485495,1.3605347,2.8581934
-27.524435,1.356364,2.8460712
-27.564169,1.3536127,2.8354864
-27.608292,1.3588765,2.8330417
-27.646954,1.3543725,2.8209672
-27.68462,1.3479886,2.807125
-27.714054,1.3258214,2.7775397
-27.721647,1.2606428,2.7047396
-27.701063,1.1376896,2.5736508
-38.014446,0.44641638,3.472189
-25.99099,1.0374913,2.7907405
-26.058155,1.061033,2.800005
-26.124939,1.0848203,2.8098016
-26.189812,1.1069787,2.818347
-26.26036,1.1368761,2.8345556
-26.332918,1.1701708,2.854332
-26.408882,1.2087629,2.879517
-26.47885,1.2407258,2.8986845
-26.52413,1.2414272,2.888052
-26.574648,1.2492135,2.884426
-26.623611,1.2552643,2.879313
-26.674337,1.2640057,2.8769984
-26.7263,1.2748172,2.8768926
-26.777618,1.2851624,2.876535
-26.82876,1.295675,2.8765402
-26.874344,1.2986877,2.8693986
-26.920753,1.3031175,2.8638124
-26.967953,1.3089716,2.8597932
-27.013748,1.3130455,2.8541937
-27.061602,1.3204741,2.8520694
-27.113121,1.333852,2.856009
-27.166492,1.3506253,2.863512
-27.212584,1.3565841,2.8604803
-27.255722,1.3581505,2.853242
-27.300024,1.361788,2.848216
-27.348211,1.3720539,2.849965
-27.394268,1.3792174,2.8487854
-27.44366,1.392386,2.8537898
-27.485989,1.393964,2.8473368
-27.531649,1.4015462,2.847065
-27.57385,1.4033754,2.8411565
-27.622194,1.4164693,2.846758
-27.647728,1.3883579,2.8108745
-27.669125,1.3517358,2.7664132
-27.703972,1.3394847,2.7466865
-27.729769,1.3095176,2.7090583
-27.71395,1.1970797,2.5875683
-27.71687,1.1181707,2.5000353
-38.007526,0.44896603,3.390153
-25.725166,1.0471728,2.8085957
-25.783812,1.058444,2.8053827
-25.84173,1.0693054,2.8020282
-25.898932,1.0797522,2.798522
-25.965466,1.1014588,2.8059773
-26.025364,1.1160147,2.8068967
-26.08761,1.133867,2.8112254
