x,y,z
-28.489462,1.2770939,3.0274882
-28.53128,1.2876997,3.032302
-28.573404,1.2998388,3.0387087
-28.612541,1.3036134,3.0373688
-28.650932,1.305372,3.0342555
-28.689955,1.3093588,3.0333772
-28.72675,1.3063626,3.0260153
-28.244211,1.268889,3.015442
-28.28877,1.2836106,3.0233812
-28.329832,1.2900703,3.023683
-28.366787,1.28614,3.0143046
-28.406149,1.288615,3.0111074
-28.446999,1.2954087,3.012134
-28.489235,1.3065321,3.0174093
-28.528114,1.3086386,3.0142689
-28.567673,1.3129613,3.0133634
-28.606457,1.3152807,3.010685
-28.645882,1.3198187,3.0102472
-28.685232,1.3244658,3.010045
-28.724285,1.3285146,3.0094028
-28.762638,1.33055,3.0069642
-28.801775,1.3355167,3.0074558
-28.839828,1.3370519,3.0047894
-28.876104,1.3323159,2.996234
-28.913582,1.331924,2.9919581
-28.947948,1.3195758,2.9763188
-28.982328,1.3066008,2.960177
-29.017426,1.2958376,2.946262
-28.063757,1.2463417,2.9708858
-28.106256,1.2534895,2.971178
-28.155708,1.2773938,2.9875274
-28.19379,1.2750921,2.979158
-28.23559,1.28192,2.9795995
-28.277554,1.2895627,2.9809647
-28.319391,1.2973261,2.9825912
-28.358696,1.298939,2.978486
-28.399015,1.3034489,2.9772825
-28.44028,1.310863,2.9789968
-28.47942,1.3128047,2.9756036
-28.521461,1.323245,2.9805002
-28.560938,1.3268068,2.9789295
-28.60082,1.3318772,2.9789424
-28.640844,1.3377595,2.979869
-28.680323,1.3423493,2.9796834
-28.719507,1.3463447,2.979054
-28.75735,1.3462303,2.9745822
-28.79684,1.3518422,2.9757671
-28.835033,1.3533392,2.9731002
-28.873587,1.3563473,2.9720192
-28.911518,1.3573434,2.9691114
-28.949429,1.3584406,2.9664202
-28.987675,1.3610497,2.9653192
-29.024666,1.3588161,2.959632
-29.061523,1.3559718,2.9534645
-29.096487,1.3447356,2.93924
-29.127584,1.3151889,2.9072785
-27.762117,1.1555729,2.8688455
-27.810686,1.171344,2.8764434
-27.85998,1.1893184,2.8863268
-27.908339,1.2060795,2.8952413
-27.956743,1.2236774,2.905139
-28.01296,1.2592733,2.9324503
-28.060955,1.2778814,2.9437075
-28.103539,1.284944,2.9440613
-28.146002,1.2921298,2.9446812
-28.188053,1.298749,2.9449039
-28.22971,1.3047986,2.9447222
-28.270706,1.3095841,2.9434638
-28.310799,1.3124106,2.9404502
-28.352982,1.3208869,2.943036
-28.393711,1.3260186,2.9425278
-28.434866,1.3326523,2.943614
-28.474401,1.3352358,2.9409041
-28.514381,1.3393173,2.9397793
-28.555248,1.3462915,2.9416041
-28.59553,1.3519878,2.942318
-28.635483,1.3570995,2.942597
-28.675127,1.3616233,2.9424329
-28.714256,1.3648608,2.9411407
-28.752054,1.3640125,2.9359775
-28.792131,1.3709536,2.93856
-28.831087,1.3745074,2.937954
-28.869785,1.3774662,2.9368892
-28.907673,1.3777268,2.9332986
-28.946102,1.3801901,2.931991
-28.984129,1.3813529,2.9295254
-29.021267,1.3791063,2.9238234
-29.057102,1.3713362,2.912794
-29.09451,1.3699813,2.9081936
-29.132868,1.3729422,2.9079661
-29.16397,1.3422306,2.874621
