x,y,z
-29.024176,1.131031,2.823349
-29.062378,1.1281867,2.817182
-29.098457,1.1154428,2.8016706
-29.138008,1.118506,2.8013873
-29.177794,1.1231043,2.8026986
-29.217089,1.1256623,2.8021846
-29.257792,1.1361959,2.8094397
-29.298199,1.1461239,2.8162475
-29.339529,1.1626079,2.8294778
-29.380825,1.1806388,2.8443303
-29.421068,1.1937659,2.8546104
-29.46141,1.2091534,2.8671942
-29.501408,1.223933,2.8793273
-29.542274,1.2474332,2.8999767
-29.581383,1.2595596,2.9098191
-29.619972,1.2689183,2.9171238
-29.658861,1.2826886,2.9287992
-29.697113,1.2922518,2.9365468
-29.736612,1.3177264,2.9597468
-29.773676,1.3181493,2.9589324
-29.811096,1.3237004,2.9631763
-29.848845,1.3358204,2.9738708
-29.88587,1.33869,2.9757638
-29.922743,1.3394971,2.9757829
-29.95963,1.3411186,2.9767003
-29.996395,1.3399572,2.975048
-30.033321,1.3446462,2.9791546
-30.07022,1.3523088,2.9862442
-30.106958,1.3557489,2.9893746
-30.143637,1.3564045,2.9899302
-30.180319,1.3549964,2.9886084
-30.216896,1.3623171,2.995823
-30.253273,1.3733287,3.0067124
-30.289742,1.3757997,3.009472
-30.326252,1.3762054,3.0103517
-30.362757,1.3767056,3.011436
-30.399252,1.3772991,3.012723
-30.435919,1.3751101,3.0114398
-30.471912,1.3830819,3.0200663
-30.508623,1.3803613,3.018497
-30.546495,1.3647997,3.0046687
-30.58387,1.3572431,2.9986734
-28.53013,1.0849915,2.7914348
-28.572966,1.0942702,2.79528
-28.615429,1.1029639,2.7987146
-28.657747,1.1117778,2.8024077
-28.700556,1.1228292,2.808384
-28.740513,1.12481,2.8058276
-28.781431,1.130436,2.806891
-28.823229,1.139714,2.8115916
-28.865442,1.1512339,2.818584
-28.904903,1.152945,2.816299
-28.943798,1.1526327,2.8121958
-28.984243,1.1588116,2.8144588
-29.02392,1.1622586,2.8142257
-29.062092,1.1594138,2.8080573
-29.1017,1.1630685,2.8082728
-29.141842,1.1696749,2.8114624
-29.181013,1.172117,2.8107624
-29.220005,1.1739502,2.8095984
-29.259888,1.1808746,2.813478
-29.298773,1.1829145,2.8127618
-29.342218,1.2121642,2.8384967
-29.382658,1.2258375,2.8493018
-29.422438,1.2367654,2.8575792
-29.462456,1.2506573,2.868857
-29.501858,1.2617998,2.8776002
-29.54154,1.2766213,2.890038
-29.580288,1.2858303,2.8971581
-29.620592,1.3101614,2.9190793
-29.658392,1.3145714,2.9217901
-29.696049,1.3183649,2.9240193
-29.733322,1.3186777,2.9229846
-29.770647,1.3198025,2.9228544
-29.808111,1.3231714,2.9250207
-29.845566,1.327354,2.9280934
-29.882992,1.3323491,2.9320736
-29.920479,1.3403075,2.9390492
-29.957748,1.3462136,2.9441476
-29.994753,1.3471997,2.9445739
-30.031706,1.3468482,2.9438114
-30.068674,1.3473086,2.943952
-30.105661,1.3507302,2.9470892
-30.1426,1.358547,2.9546165
-30.179417,1.3657422,2.9616518
-30.216139,1.3715985,2.9674973
-30.2528,1.3761153,2.9721522
-30.289585,1.3742766,2.9707355
-30.326315,1.3746829,2.9716163
-30.36274,1.3816307,2.9789724
-30.398975,1.3901043,2.9879231
-30.435568,1.3907909,2.9894118
-30.472149,1.391572,2.9911056
-30.508718,1.392447,2.9930024
-30.545029,1.3962786,2.9978848
-30.581411,1.3987722,3.0015788
-30.619148,1.3877647,2.992272
-30.65793,1.3689902,2.975546
-30.697945,1.3424551,2.9514146
-28.121517,1.1016357,2.8142643
-28.164684,1.1082792,2.8143077
-28.201063,1.0983596,2.7987137
-28.247135,1.1128888,2.806561
-28.287361,1.1129246,2.800726
-28.335169,1.1332922,2.814475
-28.380342,1.1475241,2.822524
-28.41927,1.1451213,2.8147807
-28.45823,1.1428213,2.807259
-28.50153,1.1532214,2.8120685
-28.543724,1.1609435,2.8144493
-28.588305,1.176497,2.8245187
-28.629065,1.180953,2.8240428
-28.668879,1.1827116,2.8210979
-28.709719,1.188091,2.8217802
-28.749023,1.188659,2.8179426
-28.789919,1.194962,2.8197827
-28.828175,1.1922202,2.8129935
-28.870823,1.2057898,2.8221397
-28.909391,1.2046678,2.8171725
-28.958656,1.245997,2.8535614
-28.997429,1.2472212,2.8511472
-29.037178,1.252789,2.8530822
